smoke_detector,new_batteries ,abc_extinguisher,clear_exit_routes,Windows,Hallways,Compliant
2,2,2,2,10,2,1
2,2,2,2,10,2,1
2,2,2,2,10,2,1
2,2,2,2,10,2,1
2,2,2,2,10,2,1
2,2,2,2,10,2,1
2,2,2,2,10,2,1
2,2,2,2,10,2,1
2,2,2,2,10,2,1
2,2,2,2,10,2,1
2,2,2,2,10,2,1
2,2,2,2,10,2,1
2,2,2,2,10,2,1
2,2,2,2,10,2,1
2,2,2,2,10,2,1
2,2,2,2,10,2,1
2,2,2,2,11,2,1
2,2,2,2,12,2,1
2,2,2,2,9,2,1
2,2,2,2,10,2,1
2,2,2,2,14,2,1
2,2,2,2,16,2,1
2,2,2,2,10,2,1
2,2,2,2,17,2,1
2,2,2,2,10,2,1
2,2,2,2,15,2,1
2,2,2,2,10,2,1
2,2,2,2,10,2,1
2,2,2,2,13,2,1
2,2,2,2,10,2,1
2,2,2,2,11,2,1
2,2,2,2,10,2,1
2,2,2,2,9,2,1
2,2,2,2,10,2,1
2,2,2,2,10,2,1
1,0,2,2,8,2,0
1,0,2,2,8,2,0
1,2,1,2,6,2,0
1,0,2,2,8,2,0
3,0,0,2,8,1,0
2,0,2,0,7,1,0
1,0,2,0,7,1,0
1,0,2,0,7,1,0
1,0,2,0,7,1,0
1,0,2,0,7,1,0
1,0,2,0,6,0,0
1,0,2,0,6,0,0
1,0,2,1,6,0,0
1,0,1,0,6,0,0
1,2,1,0,6,0,0
1,2,1,0,6,0,0
2,2,1,0,6,0,0
2,2,1,0,6,0,0
0,2,1,0,7,0,0
0,2,1,1,7,1,0
0,2,1,1,7,1,0
0,1,2,1,7,1,0
0,1,2,1,7,1,0
0,1,2,1,7,1,0
